"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛部添製字  002782","甘草酸一銨","MONOAMMONIUM GLYCYRRHIZINATE","2026/07/13","振源食品科技股份有限公司","2016/07/13","02-23690989","結晶性粉末","甜味劑;;",,,"MONOAMMONIUM GLYCYRRHIZINATE;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  002783","多磷素 P 粉劑","POLYPHOS P","2026/07/13","振芳股份有限公司","2016/07/13","02-23415137","粉劑","品質改良用、釀造用及食品製造用劑;;",,,"SODIUM POLYPHOSPHATE;;SODIUM PYROPHOSPHATE;;Sodium Phosphate, Monobasic (Anhydrous);;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002786","二氧化鈦","TITANIUM DIOXIDE","2026/08/10","新和食品股份有限公司","2016/08/10","02-25954321","粉劑","著色劑;;",,,"TITANIUM DIOXIDE;;",,"1.00000公斤;1.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002787","琥珀酸二鈉","DISODIUM SUCCINATE","2026/08/10","新和食品股份有限公司","2016/08/10","02-25954321","結晶性粉末","調味劑;;",,,"DISODIUM SUCCINATE;;",,"1.00000公斤;1.00000公斤;25.00000公斤"
"衛部添製字  002788","胺基乙酸","GLYCINE","2026/08/10","新和食品股份有限公司","2016/08/10","02-25954321","結晶性粉末","調味劑;;",,,"GLYCINE;;",,"1.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002789","檸檬酸","CITRIC ACID (CITRIC ACID MONOHYDRATE)","2026/08/15","新和食品股份有限公司","2016/08/15","02-25954321","結晶","調味劑;;",,,"CITRIC ACID (CITRIC ACID MONOHYDRATE);;",,"25.00000公斤;25.00000公斤;25.00000公斤;450.00000公克;1.00000公斤"
"衛部添製字  002792","乙烯二胺四醋酸二鈉","DISODIUM EHTYLENEDIAMINETETRAACETATE (EDTA NA2P)","2026/08/23","新和食品股份有限公司","2016/08/23","02-25954321","粉劑","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;",,,"DISODIUM EHTYLENEDIAMINETETRAACETATE;;",,"1.00000公斤;1.00000公斤;25.00000公斤"
"衛部添製字  002793","丙二醇","PROPYLENE GLYCOL","2026/08/29","新和食品股份有限公司","2016/08/29","02-25954321","液劑","載體;;",,,"PROPYLENE GLYCOL;;",,"25.00000公斤;20.00000公斤;15.00000公斤;10.00000公斤"
"衛部添製字  002794","L-抗壞血酸(維生素C)","L-ASCORBIC ACID (VITAMIN C)","2026/09/02","新和食品股份有限公司","2016/09/02","02-25954321","結晶性粉末","抗氧化劑;;營養添加劑;;",,,"L-ASCORBIC ACID (VITAMIN C);;",,"1.00000公斤;1.00000公斤;5.00000公斤"
"衛部添製字  002795","己二烯酸","SORBIC ACID","2026/09/02","新和食品股份有限公司","2016/09/02","02-25954321","結晶性粉末","防腐劑;;",,,"SORBIC ACID;;",,"1.00000公斤"
"衛部添製字  002796","L-精胺酸","L-ARGININE","2026/08/29","漢馨科技有限公司","2016/08/29","02-22267008","結晶性粉末","營養添加劑;;",,,"L-ARGININE;;",,"1.00000公斤;5.00000磅"
"衛部添製字  002797","己二烯酸鉀","POTASSIUM SORBATE","2026/09/05","新和食品股份有限公司","2016/09/05","02-25954321","顆粒劑","防腐劑;;",,,"POTASSIUM SORBATE;;",,"1.00000公斤"
"衛部添製字  002798","阿斯巴甜","ASPARTAME","2026/09/05","新和食品股份有限公司","2016/09/05","02-25954321","結晶性粉末","甜味劑;;",,,"ASPARTAME;;",,"1.00000公斤"
"衛部添製字  002799","丙酸鈣","CALCIUM PROPIONATE","2026/09/05","新和食品股份有限公司","2016/09/05","02-25954321","結晶性粉末","防腐劑;;",,,"CALCIUM PROPIONATE;;",,"1.00000公斤;25.00000公斤"
"衛部添製字  002802","鹿角菜膠","CARRAGEENAN","2026/10/06","新和食品股份有限公司","2016/10/06","02-25954321","粉劑","粘稠劑（糊料）;;",,,"CARRAGEENAN;;",,"1.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002803","焦磷酸鈉(無水)","SODIUM PYROPHOSPHATE, ANHYDROUS","2026/10/03","新和食品股份有限公司","2016/10/03","02-25954321","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM PYROPHOSPHATE, ANHYDROUS;;",,"25.00000公斤"
"衛部添製字  002806","聯麒益滿 S1000 複方食品添加物","EAMON S1000 CHYI LIN","2026/09/15","聯麒企業有限公司","2016/09/15","033-255323","糊狀","乳化劑;;",,,"WATER;;GLYCERIN FATTY ACID ESTER;;DIACETYL TARTARIC ACID ESTER OF MONO-AND DIGLYCERIDES;;SODIUM STEARYL-2-LACTYLATE;;",,"4.00000公斤;4.00000公斤;16.00000公斤;16.00000公斤"
"衛部添製字  002809","玉米糖膠","XANTHAN GUM","2026/09/30","新和食品股份有限公司","2016/09/30","02-25954321","粉劑","粘稠劑（糊料）;;",,,"XANTHAN GUM;;",,"1.00000公斤;3.00000公斤;45.40000公斤"
"衛部添製字  002811","異抗壞血酸鈉","SODIUM ERYTHORBATE","2026/10/06","新和食品股份有限公司","2016/10/06","02-25954321","結晶性粉末","抗氧化劑;;",,,"SODIUM ERYTHORBATE;;",,"1.00000公斤"
"衛部添製字  002812","偏磷酸鈉","SODIUM METAPHOSPHATE","2026/10/21","新和食品股份有限公司","2016/10/21","02-25954321","結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM METAPHOSPHATE;;",,"5.00000公斤;25.00000公斤;25.00000公斤;1.00000公斤"
"衛部添製字  002814","DL-胺基丙酸","DL-ALANINE ﹝DL-ALPHA-ALANINE (FOOD GRADE)﹞","2026/10/06","寶祥貿易股份有限公司","2016/10/06","03-3562569","結晶性粉末","調味劑;;",,,"DL-ALANINE;;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  002815","多磷酸鈉","SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHATE)","2026/10/21","新和食品股份有限公司","2016/10/21","02-25954321","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHATE);;",,"1.00000公斤;5.00000公斤;25.00000公斤"
"衛部添製字  002816","D-山梨醇液 70%","D-SORBITOL SOLUTION 70%","2026/10/06","新和食品股份有限公司","2016/10/06","02-25954321","液劑","甜味劑;;品質改良用、釀造用及食品製造用劑;;",,,"D-SORBITOL SOLUTION 70%;;",,"25.00000公斤;20.00000公斤;30.00000公斤"
"衛部添製字  002817","DL-胺基丙酸","DL-ALANINE","2026/10/20","新和食品股份有限公司","2016/10/20","02-25954321","結晶性粉末","調味劑;;",,,"DL-ALANINE;;",,"1.00000公斤"
"衛部添製字  002818","L-半胱氨酸鹽酸鹽","L-CYSTEINE MONOHYDROCHLORIDE","2026/10/20","新和食品股份有限公司","2016/10/20","02-25954321","結晶性粉末","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;香料;;",,,"L-Cysteine Monohydrochloride (L-Cysteine Monohydrochloride, Monohydrate);;",,"1.00000公斤"
"衛部添製字  002819","葡萄糖酸鋅","ZINC GLUCONATE","2026/10/21","昭元化成股份有限公司","2016/10/21","02-5061271","結晶性粉末","營養添加劑;;",,,"ZINC GLUCONATE;;",,"0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;1.00000公斤;15.00000公斤"
"衛部添製字  002821","丙酸鈉","SODIUM PROPIONATE","2026/10/20","新和食品股份有限公司","2016/10/20","02-25954321","結晶性粉末","防腐劑;;",,,"SODIUM PROPIONATE;;",,"1.00000公斤;25.00000公斤"
"衛部添製字  002822","飛鶴牌泡打粉-S","CRANE BAKING POWDER","2026/10/20","長壽化工廠有限公司","2016/10/20","06-2637975","粉劑","膨脹劑;;",,,"CALCIUM CARBONATE;;SODIUM BICARBONATE;;TAPIOCA STARCH;;BURNT POTASSIUM ALUM;;Calcium Phosphate, Dibasic (Dihydrate);;POTASSIUM ALUM;;",,"450.00000公克;450.00000公克;2.25000公斤;2.25000公斤;2.80000公斤;2.80000公斤;3.00000公斤;4.50000公斤;4.50000公斤;4.50000公斤;25.00000公斤;27.00000公斤"
"衛部添製字  002823","意思發達膨脹劑-S(香味發粉)","ISUBATA","2026/10/20","長壽化工廠有限公司","2016/10/20","06-2637975","粉劑","膨脹劑;;",,,"BURNT POTASSIUM ALUM;;POTASSIUM ALUM;;VANILLIN;;SODIUM BICARBONATE;;TAPIOCA STARCH;;FUMARIC ACID;;Calcium Phosphate, Monobasic (Calcium Phosphate, Monobasic, Monohydrate);;",,"450.00000公克;450.00000公克;2.25000公斤;2.25000公斤;3.00000公斤;3.00000公斤;3.60000公斤;3.60000公斤;4.50000公斤;4.50000公斤;25.00000公斤;27.00000公斤"
"衛部添製字  002824","長壽酥醱粉-S","FRIED FLOUR","2026/10/20","長壽化工廠有限公司","2016/10/20","06-2637975","粉劑;顆粒劑","膨脹劑;;",,,"SODIUM BICARBONATE;;TAPIOCA STARCH;;FUMARIC ACID;;Calcium Phosphate, Monobasic (Calcium Phosphate, Monobasic, Monohydrate);;BURNT POTASSIUM ALUM;;POTASSIUM ALUM;;",,"450.00000公克;450.00000公克;2.25000公斤;2.25000公斤;3.00000公斤;3.00000公斤;3.60000公斤;3.60000公斤;4.50000公斤;25.00000公斤;27.00000公斤;4.50000公斤"
"衛部添製字  002825","去水醋酸鈉","SODIUM DEHYDROACETATE","2026/10/21","新和食品股份有限公司","2016/10/21","02-25954321","結晶性粉末","防腐劑;;",,,"SODIUM DEHYDROACETATE;;",,"1.00000公斤"
"衛部添製字  002827","氧化鈣","CALCIUM OXIDE (SHELL CALCIUM OXIDE)","2026/11/03","仲暘企業有限公司","2016/11/03","2733-9318","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"CALCIUM OXIDE;;",,"1.00000公斤;20.00000公斤;25.00000公斤;30.00000公克;100.00000公克;500.00000公克;2.50000公克;600.00000公克;75.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;900.00000公克;1.00000公斤;1.00000公斤;20.00000公斤;25.00000公斤;3.00000公斤;9.00000公斤;10.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002830","乳酸鈣","CALCIUM LACTATE","2026/11/10","振芳股份有限公司","2016/11/10","02-23415137","顆粒劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Calcium Lactate (Calcium Lactate, Pentahydrate);;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002842","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX S1588)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
"衛部添製字  002843","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX S7688)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
"衛部添製字  002844","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX S7588)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
"衛部添製字  002845","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX S6588)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
"衛部添製字  002846","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX MDK555)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
"衛部添製字  002847","甜菊醣苷","STEVIOL GLYCOSIDE (TRUVIA STEVIA RA95)","2026/12/22","信意企業股份有限公司","2016/12/22","02-27523137","粉劑","甜味劑;;",,,"STEVIOL GLYCOSIDE;;",,"1.00000公斤"
"衛部添製字  002849","胺基酸 M","MIX AMINO ACID","2027/01/13","蔚昌實業有限公司","2017/01/13","04-23304649","粉劑","調味劑;;",,,"MONOSODIUM L-GLUTAMATE;;SODIUM 5’-INOSINATE;;SODIUM 5'-GUANYLATE;;TRISODIUM GLYCYRRHIZINATE;;MONOAMMONIUM GLYCYRRHIZINATE;;",,"2.00000公斤;4.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002850","乾酪素鈉","SODIUM CASEINATE","2027/01/13","盛源食品原料股份有限公司","2017/01/13","02-23699828","粉劑","粘稠劑（糊料）;;",,,"SODIUM CASEINATE;;",,"1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002852","異抗壞血酸鈉","SODIUM ERYTHORBATE","2027/01/25","双禾貿易有限公司","2017/01/25","06-2323503","結晶性粉末","抗氧化劑;;",,,"SODIUM ERYTHORBATE;;",,"1.00000公斤;8.00000公斤"
"衛部添製字  002854","葡萄糖酸-δ-內酯","GLUCONO-δ-LACTONE","2027/02/24","盛源食品原料股份有限公司","2017/02/24","02-23699828","結晶性粉末","調味劑;;",,,"GLUCONO-δ-LACTONE;;",,"1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002855","胺基乙酸","GLYCINE","2027/03/01","九鼎欣業有限公司","2017/03/01","04-23262677","結晶性粉末","調味劑;;",,,"GLYCINE;;",,"1.00000公斤;25.00000公斤"
"衛部添製字  002857","食用紅色七號鋁麗基","ERYTHROSINE ALUMINUM LAKE","2027/03/14","寶祥貿易股份有限公司","2017/03/14","03-3562569","粉劑","著色劑;;",,,"ERYTHROSINE ALUMINUM LAKE;;",,"37.50000公克;50.00000公克;100.00000公克;0.50000公斤;5.00000公斤;1.00000公斤"
"衛部添製字  002858","食用黃色五號鋁麗基","SUNSET YELLOW FCF ALUMINUM LAKE","2027/03/14","寶祥貿易股份有限公司","2017/03/14","03-3562569","粉劑","著色劑;;",,,"SUNSET YELLOW FCF ALUMINUM LAKE;;",,"37.50000公克;50.00000公克;100.00000公克;0.50000公斤;1.00000公斤;5.00000公斤"
"衛部添製字  002859","蔗糖素","SUCRALOSE (SPLENDA SUCRALOSE GRANULAR (DFF-1))","2027/03/14","振芳股份有限公司",,"02-23415137","顆粒劑","甜味劑;;",,,"SUCRALOSE;;",,"0.50000公斤;0.50000公斤;1.00000公斤;1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤"
"衛部添製字  002860","食用黃色四號","TARTRAZINE (FOOD YELLOW NO.4)","2027/04/06","順慶實業有限公司","2017/04/06","07-7871761","粉劑","",,,,,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1.00000公克;5.00000公克;500.00000公克;30.00000公斤;10.00000公斤;5.00000公斤;1.00000公斤;500.00000公克;25.00000公斤;50.00000公斤;100.00000公克;100.00000公克;20.00000公斤;1.00000公斤;10.00000公斤;25.00000公斤"
"衛部添製字  002861","DL-蘋果酸(羥基丁二酸)","DL-MALIC ACID (HYDROXYSUCCINIC ACID)","2027/04/06","順慶實業有限公司","2017/04/06","07-7871761","顆粒劑","調味劑;;",,,"DL-MALIC ACID (HYDROXYSUCCINIC ACID);;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002862","食用紅色四十號","ALLURA RED AC (FOOD RED NO.40)","2027/04/22","順慶實業有限公司","2017/04/22","07-7871761","粉劑","著色劑;;",,,"ALLURA RED AC;;",,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1.00000公克;5.00000公克;500.00000公克;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;40.00000公斤"
"衛部添製字  002996","苯甲酸","BENZOIC ACID","2029/03/16","三福生技股份有限公司","2019/03/16","02-25426789","粉劑","防腐劑;;",,,"BENZOIC ACID;;",,"1.00000磅;60.00000磅;25.00000公斤;25.00000公斤"
"衛部添製字  002863","食用黃色五號","SUNSET YELLOW FCF (FOOD YELLOW NO.5)","2027/05/02","順慶實業有限公司","2017/05/02","07-7871761","粉劑","著色劑;;",,,"SUNSET YELLOW FCF;;",,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1.00000公克;5.00000公克;1.00000公克;500.00000公克;500.00000公克;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;30.00000公斤;30.00000公斤;40.00000公斤;50.00000公斤"
"衛部添製字  002864","甜菊醣苷","Steviol glycosides (CONTAINING REBAUDIOSIDE A 97%)","2027/04/22","振芳股份有限公司","2017/04/22","02-23415137","粉劑","甜味劑;;",,,"STEVIOL GLYCOSIDE;;",,"0.50000公斤;0.50000公斤;1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;30.00000公斤;30.00000公斤"
"衛部添製字  002865","L-精胺酸","L-ARGININE","2027/04/22","漢馨科技有限公司","2017/04/22","02-22267008","結晶性粉末","營養添加劑;;",,,"L-ARGININE;;",,"120.00000公克"
"衛部添製字  002866","食用紅色七號","ERYTHROSINE (FOOD RED NO.7)","2027/04/22","順慶實業有限公司","2017/04/22","07-7871761","粉劑","著色劑;;",,,"ERYTHROSINE;;",,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1.00000公克;5.00000公克;500.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  002867","食用藍色一號","BRILLIANT BLUE FCF","2027/04/22","順慶實業有限公司","2017/04/22","07-7871761","粉劑","著色劑;;",,,"BRILLIANT BLUE FCF;;",,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;25.00000公斤;1.00000公克;5.00000公斤"
"衛部添製字  002868","食用紅色六號","COCHINEAL RED A (NEW COCCIN)","2027/04/22","順慶實業有限公司","2017/04/22","07-7871761","粉劑","",,,"COCHINEAL RED A (NEW COCCIN);;",,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1.00000公克;5.00000公克;500.00000公克;1.00000公斤;1.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;50.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  002870","碳酸氫鈉","SODIUM BICARBONATE","2027/05/18","新和食品股份有限公司","2017/05/18","02-25954321","結晶性粉末","膨脹劑;;",,,"SODIUM BICARBONATE;;",,"50.00000公克;100.00000公克;200.00000公克;225.00000公克;250.00000公克;450.00000公克;500.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;6.12000公斤;18.36000公斤;24.48000公斤;20.00000公斤;20.00000公斤;22.50000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002872","乳鐵蛋白","LACTOFERRIN","2027/06/03","昭元化成股份有限公司","2017/06/03","02-5061271","粉劑","營養添加劑;;",,,"LACTOFERRIN;;",,"1.00000公斤;100.00000公克"
